female_gender_seed_word
abbess
abbesses
actress
actresses
anchorwoman
anchorwomen
aunt
aunts
babe
babes
baddie
baddies
barmaid
barmaids
barwoman
barwomen
basic bitch
basic bitches
bimbo
bimbos
bitch
bitches
bride
brides
businesswoman
businesswomen
chairwoman
chairwomen
chick
chicks
cleaning ladies
cleaning lady
concubine
concubines
congresswoman
congresswomen
coquette
coquettes
courtesan
courtesans
crone
crones
dame
dames
damsel
damsels
daughter
daughters
debutante
debutantes
deliverywoman
deliverywomen
doxies
doxy
draftswoman
draftswomen
duchess
duchesses
egirl
egirls
empress
empresses
enchantress
enchantresses
femcel
femcels
gal
gals
girl
girls
goddess
goddesses
grandma
grandmas
grandmother
grandmothers
granny
grannies
hag
hags
harlot
harlots
her
heroine
heroines
hers
herself
hostess
hostesses
ladies
lady
landladies
landlady
lass
lasses
maams
madam
madams
maharani
maharanis
maid
maids
maidservant
maidservants
matriarch
matriarchs
matron
matrons
ma’am
midwife
midwives
milf
milfs
miss
missies
missy
mistress
mistresses
mom
moms
mother
mothers
mrs
ms
niece
nieces
nun
nuns
oracle
oracles
paramour
paramours
pickme
pickmes
policewoman
policewomen
postwoman
postwomen
priestess
priestesses
princess
princesses
queen
queens
rani
ranis
repairwoman
repairwomen
saleswoman
saleswomen
schoolgirl
schoolgirls
she
shieldmaiden
shieldmaidens
sis
sisses
sissy
sista
sister
sisters
spinster
spinsters
spokeswoman
spokeswomen
stateswoman
stateswomen
stewardess
stewardesses
suffragette
suffragettes
sultana
sultanas
sultaness
sultanesses
tsarina
tsarinas
valkyrie
valkyries
virago
viragos
waitress
waitresses
weathergirl
weathergirls
wench
wenches
widow
widows
wife
witch
witches
wives
woman
woman-hour
woman-hours
woman-made
womanhunter
womanhunters
women
