male_gender_seed_word
abbot
abbots
actor
actors
anchorman
anchormen
bachelor
bachelors
barman
barmen
baron
boy
boys
boytoy
boytoys
bridegroom
bridegrooms
bro
bros
brother
brothers
businessman
businessmen
cavalier
cavaliers
chad
chads
chairman
chairmen
chap
chaps
congressman
congressmen
dad
dads
deliveryman
deliverymen
draftsman
draftsmen
dude
dudes
duke
dukes
emperor
emperors
esquire
esquires
father
fathers
fireman
firemen
friar
friars
fuckboy
fuckboys
gentleman
gentlemen
gigachad
gigachads
god
gods
grandfather
grandpa
grandpas
gransfathers
groom
grooms
guy
guys
he
hero
heros
him
himself
his
host
hosts
husband
husbandman
husbandmen
husbands
king
kings
kinsman
kinsmen
knight
knights
lad
lads
landlord
landlords
lord
lordling
lordlings
lords
maharajah
maharajahs
man
man-made
manchild
manchildren
manhunter
manhunters
manservant
manservants
men
mister
monk
monks
mr
neckbeard
neckbeards
nephew
nephews
patriarch
patriarchate
patriarchs
policeman
policemen
pope
popes
postman
postmen
prince
princes
rajah
rajahs
reeve
reeves
repairman
repairmen
salesman
salesmen
schoolboy
schoolboys
simp
simps
sir
sire
sirrah
sirrahs
sirs
son
sons
spokesman
spokesmen
squire
squires
statesman
statesmen
stepfather
steward
stewards
stud
studs
sultan
sultans
swain
swains
tsar
tsars
uncle
uncles
waiter
waiters
warlock
warlocks
weatherman
weathermen
widower
widowers
wizard
wizards
yeoman
yeomen
zaddy
